place	latitude	longitude
West Bank	19.38197	-81.39281
West Bank	19.38197	-81.39281
Dura	28.8	49.23333
Dura	28.8	49.23333
Hebron	31.52935	35.0938
Hebron	31.52935	35.0938
Tulkarem	32.31156	35.0269
Tulkarem	32.31156	35.0269
Gaza Strip	31.50161	34.46672
Gaza Strip	31.50161	34.46672
Israel	31.5	34.75
Israel	31.5	34.75
Nablus	32.22111	35.25444
Nablus	32.22111	35.25444
Red Sea	52.26682	-113.802
Red Sea	52.26682	-113.802
United States	39.76	-98.5
United States	39.76	-98.5
United Kingdom	54.75844	-2.69531
United Kingdom	54.75844	-2.69531
Yemen	15.5	47.5
Yemen	15.5	47.5
Iran	32	53
Iran	32	53
Gaza	31.50161	34.46672
Gaza	31.50161	34.46672
US	49.1	1.96667
US	49.1	1.96667
Sanaa	15.35472	44.20667
Sanaa	15.35472	44.20667
Saudi Arabia	25	45
Saudi Arabia	25	45
Aden	12.77944	45.03667
Aden	12.77944	45.03667
Tel Aviv	32.08088	34.78057
Tel Aviv	32.08088	34.78057
UK	54.75844	-2.69531
UK	54.75844	-2.69531
Palestine	31.92157	35.20329
Palestine	31.92157	35.20329
Suez Canal	29.93139	32.56278
Suez Canal	29.93139	32.56278
Africa	7.1881	21.09375
Africa	7.1881	21.09375
Marib	15.6213	46.0111
Marib	15.6213	46.0111
Middle East	33.13906	35.85869
Middle East	33.13906	35.85869
United Arab Emirates	23.75	54.5
United Arab Emirates	23.75	54.5
Turkey	39	35
Turkey	39	35
Jordan	31	36
Jordan	31	36
Qatar	25.5	51.25
Qatar	25.5	51.25
UAE	12.26667	-14.7
UAE	12.26667	-14.7
Charleston	32.77632	-79.93275
Charleston	32.77632	-79.93275
South Carolina	34.00043	-81.00009
South Carolina	34.00043	-81.00009
Gaza City	31.50161	34.46672
Gaza City	31.50161	34.46672
Doha	25.28545	51.53096
Doha	25.28545	51.53096
Hong Kong	22.27832	114.17469
Hong Kong	22.27832	114.17469
Abdullah bin Khalifa Stadium	-8.9221	29.9336
Abdullah bin Khalifa Stadium	-8.9221	29.9336
South Africa	26.5	-81
South Africa	26.5	-81
State of Palestine	30.25	79.25
State of Palestine	30.25	79.25
Lebanon	33.83333	35.83333
Lebanon	33.83333	35.83333
Hague	52.51118	-106.41859
Hague	52.51118	-106.41859
Pretoria	-25.74486	28.18783
Pretoria	-25.74486	28.18783
Uganda	1.25	32.5
Uganda	1.25	32.5
China	35	105
China	35	105
Russia	60	100
Russia	60	100
Kuwait	29.5	47.75
Kuwait	29.5	47.75
Gazas	-23.5	33
Gazas	-23.5	33
Ukraine	49	32
Ukraine	49	32
Canada	60.10867	-113.64258
Canada	60.10867	-113.64258
Montreal	45.50884	-73.58781
Montreal	45.50884	-73.58781
Milton Ontario	52.04172	-0.75583
Milton Ontario	52.04172	-0.75583
Jabalia	31.5272	34.48347
Jabalia	31.5272	34.48347
Israels	37.97986	-78.69724
Israels	37.97986	-78.69724
Ottawa	45.41117	-75.69812
Ottawa	45.41117	-75.69812
Egypt	27	30
Egypt	27	30
Rafah	31.29722	34.24357
Rafah	31.29722	34.24357
Toronto	43.70643	-79.39864
Toronto	43.70643	-79.39864
Calgary	51.05011	-114.08529
Calgary	51.05011	-114.08529
Afghanistan	33	66
Afghanistan	33	66
Austria	47.33333	13.33333
Austria	47.33333	13.33333
Australia	-25	135
Australia	-25	135
Finland	64	26
Finland	64	26
Germany	51.5	10.5
Germany	51.5	10.5
Italy	42.83333	12.83333
Italy	42.83333	12.83333
Japan	35.68536	139.75309
Japan	35.68536	139.75309
Netherlands	52.25	5.75
Netherlands	52.25	5.75
Iceland	65	-18
Iceland	65	-18
Sweden	62	15
Sweden	62	15
Switzerland	47.00016	8.01427
Switzerland	47.00016	8.01427
Romania	46	25
Romania	46	25
Washington DC	47.50012	-120.50147
Washington DC	47.50012	-120.50147
Jerusalem	31.76904	35.21633
Jerusalem	31.76904	35.21633
Gretna	41.14083	-96.23974
Gretna	41.14083	-96.23974
Louisiana	31.00047	-92.0004
Louisiana	31.00047	-92.0004
New Orleans	29.95465	-90.07507
New Orleans	29.95465	-90.07507
Highway 60	40.11189	-87.73915
Highway 60	40.11189	-87.73915
MirandaCleland	NA	NA
East Jerusalem	31.78336	35.23388
East Jerusalem	31.78336	35.23388
Scotland	56	-4
Scotland	56	-4
Ireland	53	-8
Ireland	53	-8
Norway	62	10
Norway	62	10
October7	NA	NA
Syria	35	38
Syria	35	38
Jenin	32.45943	35.30086
Jenin	32.45943	35.30086
Beit Iksa	31.5464	34.49514
Beit Iksa	31.5464	34.49514
Ramallah	31.89964	35.20422
Ramallah	31.89964	35.20422
Abwein	32.03144	35.19992
Abwein	32.03144	35.19992
Qalqilya	32.18583	35.06583
Qalqilya	32.18583	35.06583
Jericho	31.86667	35.45
Jericho	31.86667	35.45
Yemens	NA	NA
Bahrain	26.03333	50.55
Bahrain	26.03333	50.55
Denmark	56	10
Denmark	56	10
New Zealand	-42	174
New Zealand	-42	174
South Korea	36.5	127.75
South Korea	36.5	127.75
Spain	40	-4
Spain	40	-4
France	46	2
France	46	2
Belgium	50.75	4.5
Belgium	50.75	4.5
Czech Republic	49.75	15
Czech Republic	49.75	15
Hungary	47	20
Hungary	47	20
Berlin	52.52437	13.41053
Berlin	52.52437	13.41053
Paris	48.85341	2.3488
Paris	48.85341	2.3488
Slovenia	46.08333	15
Slovenia	46.08333	15
Brussels	50.85045	4.34878
Brussels	50.85045	4.34878
carogennez	NA	NA
Belgiums	NA	NA
Flanders	51	4.5
Flanders	51	4.5
Wallonia	50.5	4.75
Wallonia	50.5	4.75
Ein alHilweh	32.62899	34.94483
Ein alHilweh	32.62899	34.94483
Basel	47.55839	7.57327
Basel	47.55839	7.57327
Ofer	32.62257	34.98302
Ofer	32.62257	34.98302
Jordan Valley	42.97404	-117.0543
Jordan Valley	42.97404	-117.0543
Area C	-25.55132	-54.61622
Area C	-25.55132	-54.61622
Kadris	NA	NA
alJiftlik	NA	NA
Farsiya	35.95584	42.96643
Farsiya	35.95584	42.96643
Makhoul	33.40788	37.3558
Makhoul	33.40788	37.3558
Tubas	32.32091	35.36989
Tubas	32.32091	35.36989
Umm Zuka	32.27071	35.51239
Umm Zuka	32.27071	35.51239
Areas A	-16.39889	-71.535
Areas A	-16.39889	-71.535
Beirut	33.89332	35.50157
Beirut	33.89332	35.50157
Washington	47.50012	-120.50147
Washington	47.50012	-120.50147
Kerman	30.28321	57.07879
Kerman	30.28321	57.07879
Islamic Republic	32	53
Islamic Republic	32	53
Nur Shams	51.1801	71.44598
Nur Shams	51.1801	71.44598
Naqoura	33.11806	35.13972
Naqoura	33.11806	35.13972
Deir elBalah	35.33588	40.14084
Deir elBalah	35.33588	40.14084
Nuseirat	31.44861	34.3925
Nuseirat	31.44861	34.3925
DC	38.91706	-77.00025
DC	38.91706	-77.00025
America	26.0173	-104.41406
America	26.0173	-104.41406
Strip	-27.51667	27.05
Strip	-27.51667	27.05
West	42.77268	-116.9579
West	42.77268	-116.9579
Tel Avivs	32.08088	34.78057
Tel Avivs	32.08088	34.78057
London	51.50853	-0.12574
London	51.50853	-0.12574
Tel Israels	31.24864	34.86007
Tel Israels	31.24864	34.86007
South Africas	26.5	-81
South Africas	26.5	-81
Myanmar	21	96
Myanmar	21	96
Kuala Lumpur	3.1412	101.68653
Kuala Lumpur	3.1412	101.68653
Malaysia	2.5	112.5
Malaysia	2.5	112.5
Indonesias	NA	NA
Jakarta	-6.21462	106.84513
Jakarta	-6.21462	106.84513
Johannesburg	-26.20227	28.04363
Johannesburg	-26.20227	28.04363
Vienna	48.20849	16.37208
Vienna	48.20849	16.37208
Amman	31.95522	35.94503
Amman	31.95522	35.94503
Bank Junction	53.74594	-113.53532
Bank Junction	53.74594	-113.53532
Manchester	42.99564	-71.45479
Manchester	42.99564	-71.45479
India	22	79
India	22	79
Hyderabad	17.38405	78.45636
Hyderabad	17.38405	78.45636
Colombos Kollupitiya	NA	NA
Farhana	NA	NA
Khan Younis	31.34018	34.30627
Khan Younis	31.34018	34.30627
Abudaqa	NA	NA
Dahiyeh	NA	NA
Beiruts Shatila	NA	NA
Earth	0	0
Earth	0	0
Lama Khater	9.55111	1.18611
Lama Khater	9.55111	1.18611
Kiryat Arba	33.20733	35.57212
Kiryat Arba	33.20733	35.57212
Hasharon Prison	34.50771	-85.31265
Hasharon Prison	34.50771	-85.31265
Damon Prison	46.94481	-124.11628
Damon Prison	46.94481	-124.11628
Ofer Prison	37.97663	-114.04498
Ofer Prison	37.97663	-114.04498
Britain	54	-2
Britain	54	-2
Republic of Yemen	24	121
Republic of Yemen	24	121
Hodeidah	14.79781	42.95452
Hodeidah	14.79781	42.95452
Saada	16.94021	43.76393
Saada	16.94021	43.76393
Taiz	13.57952	44.02091
Taiz	13.57952	44.02091
Hajjah	15.69425	43.60582
Hajjah	15.69425	43.60582
Europe	48.69096	9.14062
Europe	48.69096	9.14062
Asia	29.84064	89.29688
Asia	29.84064	89.29688
Sudan	16	30
Sudan	16	30
Iraq	33	44
Iraq	33	44
Syrias Aleppo	NA	NA
Mariupol	47.09514	37.54131
Mariupol	47.09514	37.54131
Dublin	53.33306	-6.24889
Dublin	53.33306	-6.24889
Moscow	55.75222	37.61556
Moscow	55.75222	37.61556
Global South	-34.98943	138.51674
Global South	-34.98943	138.51674
Beiruts	NA	NA
Hezbollahs	NA	NA
Arura	9.8694	76.30498
Arura	9.8694	76.30498
Deir Qaddis	35.33588	40.14084
Deir Qaddis	35.33588	40.14084
El Arish	31.13159	33.79844
El Arish	31.13159	33.79844
Hostage Square	41.81704	-71.42228
Hostage Square	41.81704	-71.42228
Hamass	NA	NA
Aizawl	23.72894	92.71791
Aizawl	23.72894	92.71791
Manipur	25	94
Manipur	25	94
Kangpokpi	25.15114	93.9695
Kangpokpi	25.15114	93.9695
Mizoram	23	93
Mizoram	23	93
Mizorams	NA	NA
Kingdom of Judah	20.75028	-156.50028
Kingdom of Judah	20.75028	-156.50028
Anu Museum	42.66667	24.68333
Anu Museum	42.66667	24.68333
Bnei Menashe	32.08074	34.8338
Bnei Menashe	32.08074	34.8338
Kolasib	24.22388	92.67869
Kolasib	24.22388	92.67869
Bethlehem	40.62593	-75.37046
Bethlehem	40.62593	-75.37046
Nairoukh	NA	NA
Shawawra	NA	NA
Tehran	35.69439	51.42151
Tehran	35.69439	51.42151
X	19.22364	-70.53051
X	19.22364	-70.53051
Spain	40	-4
Spain	40	-4
Madrid	40.4165	-3.70256
Madrid	40.4165	-3.70256
Oman	21	57
Oman	21	57
Gulf	-7.7246	145.08545
Gulf	-7.7246	145.08545
White House	18.10275	-77.95697
White House	18.10275	-77.95697
Bani Suheila	31.34337	34.32337
Bani Suheila	31.34337	34.32337
alFukhari	NA	NA
Damascus	33.5102	36.29128
Damascus	33.5102	36.29128
alAssad Airbase	33.7856	42.4411
alAssad Airbase	33.7856	42.4411
Baghdad	33.34058	44.40088
Baghdad	33.34058	44.40088
Near East	17.97421	-76.80663
Near East	17.97421	-76.80663
Serbia	44.81892	20.45998
Serbia	44.81892	20.45998
BosniaHerzegovina	NA	NA
Srebrenica	44.10748	19.29669
Srebrenica	44.10748	19.29669
Algeria	28	3
Algeria	28	3
Frances	-36.71667	140.96667
Frances	-36.71667	140.96667
State of Israel	20.5	84.41667
State of Israel	20.5	84.41667
Gazas Deir elBalah	31.41667	34.33333
Gazas Deir elBalah	31.41667	34.33333
Egypts El Arish International Airport	9.5145	44.08444
Egypts El Arish International Airport	9.5145	44.08444
MoTaz	NA	NA
azaizamotaz9	NA	NA
Yugoslavia	44	19.75
Yugoslavia	44	19.75
Ocean Jazz	-10	70
Ocean Jazz	-10	70
Gulf of Aden	12	48
Gulf of Aden	12	48
Philippines	13.40882	122.56155
Philippines	13.40882	122.56155
Bab elMandeb	12.60416	43.33557
Bab elMandeb	12.60416	43.33557
Cape of Good Hope	37.52777	-108.02785
Cape of Good Hope	37.52777	-108.02785
Pakistan	30	70
Pakistan	30	70
Erbil	36.19117	44.00943
Erbil	36.19117	44.00943
Pakistans Balochistan province	41.22825	33.15674
Pakistans Balochistan province	41.22825	33.15674
Irans SistanBaluchestan province	NA	NA
Irans	NA	NA
Rask	29.49114	57.18543
Rask	29.49114	57.18543
SistanBaluchestan	NA	NA
Strait of Hormuz	26.56667	56.25
Strait of Hormuz	26.56667	56.25
Persian Gulf	27	51
Persian Gulf	27	51
Davos	46.80429	9.83723
Davos	46.80429	9.83723
Balochistan	28.47849	65.64355
Balochistan	28.47849	65.64355
Netanyahus	NA	NA
Supernova	NA	NA
Houthis	NA	NA
BabelMandeb Strait	6.8127	122.0236
BabelMandeb Strait	6.8127	122.0236
Dhamar	14.54274	44.40514
Dhamar	14.54274	44.40514
alBayda	18.86139	42.07078
alBayda	18.86139	42.07078
Arabian Sea	25	45
Arabian Sea	25	45
Bab alMandeb Strait	30.73222	56.7175
Bab alMandeb Strait	30.73222	56.7175
Khan Younis Training Centre	35.95111	68.71492
Khan Younis Training Centre	35.95111	68.71492
alKarama	NA	NA
Beruit	NA	NA
Lebanons	NA	NA
United Nations	41.13387	-104.75802
United Nations	41.13387	-104.75802
Yemens coast	NA	NA
Maghazi	31.42234	34.38501
Maghazi	31.42234	34.38501
Manchester City	42.99564	-71.45479
Manchester City	42.99564	-71.45479
Barcelona	41.38879	2.15899
Barcelona	41.38879	2.15899
Chile	-30	-71
Chile	-30	-71
Mexico	23	-102
Mexico	23	-102
Chiles	0.81691	-77.93693
Chiles	0.81691	-77.93693
Santiago	-33.45694	-70.64827
Santiago	-33.45694	-70.64827
Bangladesh	24	90
Bangladesh	24	90
Bolivia	-17	-65
Bolivia	-17	-65
Comoros	-12.23333	44.44553
Comoros	-12.23333	44.44553
Djibouti	11.83333	42.5
Djibouti	11.83333	42.5
Kaplan Square	35.77237	-78.71306
Kaplan Square	35.77237	-78.71306
Haifa	32.81841	34.9885
Haifa	32.81841	34.9885
Caesarea	38.73222	35.48528
Caesarea	38.73222	35.48528
Kefar Sava	32.175	34.90694
Kefar Sava	32.175	34.90694
Rehovot	31.89421	34.81199
Rehovot	31.89421	34.81199
Beersheba	31.25181	34.7913
Beersheba	31.25181	34.7913
AlAmal Hospital	37.76295	-122.25407
AlAmal Hospital	37.76295	-122.25407
Khan Yunis	31.34018	34.30627
Khan Yunis	31.34018	34.30627
Nasser Hospital	30.06667	31.3
Nasser Hospital	30.06667	31.3
Mawasi	32.48133	68.85529
Mawasi	32.48133	68.85529
Dearborn	42.32226	-83.17631
Dearborn	42.32226	-83.17631
Michigan	44.25029	-85.50033
Michigan	44.25029	-85.50033
Chicago	41.85003	-87.65005
Chicago	41.85003	-87.65005
New Delhi	28.62137	77.2148
New Delhi	28.62137	77.2148
Indias Basmati	37.38469	-5.99304
Indias Basmati	37.38469	-5.99304
North America	46.07323	-100.54688
North America	46.07323	-100.54688
North Africa	32.95337	9.97559
North Africa	32.95337	9.97559
AlAqsa Martyrs Hospital	30.05724	31.2951
AlAqsa Martyrs Hospital	30.05724	31.2951
alShifa	NA	NA
Welchs	30.23604	-92.82265
Welchs	30.23604	-92.82265
Kampala	0.31628	32.58219
Kampala	0.31628	32.58219
Ugandas	NA	NA
Indonesia	-5	120
Indonesia	-5	120
Peru	-10	-75.25
Peru	-10	-75.25
Colombia	4	-73.25
Colombia	4	-73.25
South Sudan	7.5	30
South Sudan	7.5	30
Swaziland	-26.5	31.5
Swaziland	-26.5	31.5
Lisbon	38.71667	-9.13333
Lisbon	38.71667	-9.13333
Portugal	39.6945	-8.13057
Portugal	39.6945	-8.13057
Meron	32.9878	35.44087
Meron	32.9878	35.44087
Kiryat Shmona	33.20733	35.57212
Kiryat Shmona	33.20733	35.57212
Blue Line	40.88291	-123.98395
Blue Line	40.88291	-123.98395
Singapore	1.36667	103.8
Singapore	1.36667	103.8
Mediterranean	35.78	19.33
Mediterranean	35.78	19.33
Indian Ocean	-10	70
Indian Ocean	-10	70
Bahaa elDin Abu Ras	33.53699	36.31307
Bahaa elDin Abu Ras	33.53699	36.31307
Bahaas	NA	NA
Abdullah Azzam Mosque	-8.9221	29.9336
Abdullah Azzam Mosque	-8.9221	29.9336
Marshall Islands	7.113	171.236
Marshall Islands	7.113	171.236
Morocco	28.5	-10
Morocco	28.5	-10
Rabat	34.01325	-6.83255
Rabat	34.01325	-6.83255
Western Sahara	10.01211	105.83224
Western Sahara	10.01211	105.83224
Marrakesh	31.63416	-7.99994
Marrakesh	31.63416	-7.99994
Moroccos	NA	NA
Maghreb	30	5
Maghreb	30	5
alWalaja	NA	NA
Gilo	-7.45	-40.83333
Gilo	-7.45	-40.83333
Har Gilo	31.72119	35.1724
Har Gilo	31.72119	35.1724
Education City Stadium	38.7635	-95.0041
Education City Stadium	38.7635	-95.0041
Al Rayyan	25.29194	51.42444
Al Rayyan	25.29194	51.42444
Qatars	NA	NA
Salah alDin Street	34.5	43.65
Salah alDin Street	34.5	43.65
Wadi Gaza	15	21.5
Wadi Gaza	15	21.5
Bosnia	44	18
Bosnia	44	18
Sri Lanka	7.75	80.75
Sri Lanka	7.75	80.75
Republic of South Africa	7	21
Republic of South Africa	7	21
AlAqsa Mosque	31.77614	35.23549
AlAqsa Mosque	31.77614	35.23549
PA	12.66667	-3.95
PA	12.66667	-3.95
Oslo	59.91273	10.74609
Oslo	59.91273	10.74609
Cairo	30.06263	31.24967
Cairo	30.06263	31.24967
New York	40.71427	-74.00597
New York	40.71427	-74.00597
Belarus	53	28
Belarus	53	28
Ebel elSaqi	33.35667	35.62639
Ebel elSaqi	33.35667	35.62639
Entebbe Uganda	0.04239	32.4435
Entebbe Uganda	0.04239	32.4435
Sierra Leone	8.5	-11.5
Sierra Leone	8.5	-11.5
DRC	-17.98192	20.76806
DRC	-17.98192	20.76806
adoniaayebare	NA	NA
Namibia	-22	17
Namibia	-22	17
Shadis	NA	NA
Khreiss	NA	NA
Northern Gaza	54.77535	-105.64453
Northern Gaza	54.77535	-105.64453
Malta	35.91667	14.43333
Malta	35.91667	14.43333
Gulf of Oman	8.5	79
Gulf of Oman	8.5	79
Ankara	39.91987	32.85427
Ankara	39.91987	32.85427
Aqaba	29.52667	35.00778
Aqaba	29.52667	35.00778
California	37.25022	-119.75126
California	37.25022	-119.75126
Panjgur	26.75	64
Panjgur	26.75	64
SistanBaluchestan province	28.5	60.5
SistanBaluchestan province	28.5	60.5
Islamabad	33.72148	73.04329
Islamabad	33.72148	73.04329
Islamic Republic of Iran	32	53
Islamic Republic of Iran	32	53
RepJayapal	NA	NA
RepCori	NA	NA
BasedMikeLee	NA	NA
Texas	31.25044	-99.25061
Texas	31.25044	-99.25061
Republic of Korea	24	121
Republic of Korea	24	121
Libya	28	17
Libya	28	17
Kosovo	42.58333	20.91667
Kosovo	42.58333	20.91667
Sabra	34.83042	-1.547
Sabra	34.83042	-1.547
Shatila	42.65879	45.15632
Shatila	42.65879	45.15632
Kyiv	50.45466	30.5238
Kyiv	50.45466	30.5238
alShifa Hospital	37.76295	-122.25407
alShifa Hospital	37.76295	-122.25407
Somalia	6	48
Somalia	6	48
Yemens Red Sea	43.22368	-76.73856
Yemens Red Sea	43.22368	-76.73856
Washingtons	41.88734	-123.79979
Washingtons	41.88734	-123.79979
Rawaas	NA	NA
alMawasi district	14.3656	44.7778
alMawasi district	14.3656	44.7778
El Amal City Hospital	32.893	0.54839
El Amal City Hospital	32.893	0.54839
Ibn Sina Hospital	32.08086	20.0612
Ibn Sina Hospital	32.08086	20.0612
alAhli Arab Hospital	36.32365	-76.21842
alAhli Arab Hospital	36.32365	-76.21842
Cameroon	6	12.5
Cameroon	6	12.5
Iron Dome	-7.82463	-79.2839
Iron Dome	-7.82463	-79.2839
alAhli	NA	NA
Egypts Sinai Peninsula	30.0275	31.765
Egypts Sinai Peninsula	30.0275	31.765
Philadelphi	NA	NA
Karem Abu Salem	30.486	31.60823
Karem Abu Salem	30.486	31.60823
Kerem Shalom	31.22777	34.28459
Kerem Shalom	31.22777	34.28459
Greece	39	22
Greece	39	22
Dubai	25.07725	55.30927
Dubai	25.07725	55.30927
Bab alMandeb	12.60416	43.33557
Bab alMandeb	12.60416	43.33557
Yemens southern coast	NA	NA
Riyadh	24.68773	46.72185
Riyadh	24.68773	46.72185
Yaroun	33.08028	35.4225
Yaroun	33.08028	35.4225
Lebanons Nabatieh	NA	NA
